Program,Function,Num_Workers,CPU%,Memory(MB),IO(MB/s),ExecutionTime(s)
A,cpu,2,92.79,3.75,2.45,11.78
A,cpu,3,88.70,4.75,1.11,14.87
A,cpu,4,91.32,5.75,.81,20.41
A,cpu,5,90.36,6.72,.67,26.16
A,mem,2,92.14,6.25,1.58,11.35
A,mem,3,91.38,8.50,1.11,14.43
A,mem,4,88.87,10.75,.85,22.69
A,mem,5,90.48,13.00,.65,28.79
A,io,2,9.10,7.50,7.30,2.37
A,io,3,9.10,10.37,7.30,2.42
A,io,4,3.03,13.25,7.30,2.65
A,io,5,28.20,16.12,8.20,2.50
B,cpu,2,91.50,2.12,1.58,8.75
B,cpu,3,91.68,2.25,1.11,17.25
B,cpu,4,93.09,2.23,.81,20.63
B,cpu,5,92.30,2.25,.65,26.59
B,cpu,6,89.84,2.23,1.15,32.87
B,cpu,7,91.42,2.12,.50,35.91
B,cpu,8,89.35,2.12,.37,44.26
B,mem,2,91.50,4.87,1.51,8.76
B,mem,3,88.70,6.37,1.05,17.56
B,mem,4,91.52,7.87,.77,20.39
B,mem,5,89.86,9.37,.61,26.53
B,mem,6,91.10,10.97,.50,32.26
B,mem,7,89.97,12.50,.42,38.19
B,mem,8,89.97,14.00,.37,44.80
B,io,2,9.10,5.87,6.94,-0.57
B,io,3,9.10,7.87,6.94,2.43
B,io,4,12.13,9.87,6.94,2.47
B,io,5,16.66,11.87,6.94,2.50
B,io,6,15.16,13.87,6.94,2.61
B,io,7,6.06,16.00,7.44,2.55
B,io,8,16.36,18.00,6.94,2.60
